Var1,Var2,Freq
MONDO:0001257,ICD9CM:362.14,11
MONDO:0004348,ICD9CM:362.15,11
MONDO:0006950,ICD9CM:362.18,11
MONDO:0006952,ICD9CM:362.20,11
MONDO:0006952,ICD9CM:362.21,11
MONDO:0002089,ICD9CM:362.30,11
MONDO:0001633,ICD9CM:362.31,11
MONDO:0001630,ICD9CM:362.32,11
MONDO:0001985,ICD9CM:362.33,11
MONDO:0004583,ICD9CM:362.34,11
MONDO:0002303,ICD9CM:362.35,11
MONDO:0018616,ICD9CM:362.41,11
MONDO:0005417,ICD9CM:362.52,11
MONDO:0001919,ICD9CM:362.53,11
MONDO:0004904,ICD9CM:362.55,11
MONDO:0001455,ICD9CM:362.63,11
MONDO:0001457,ICD9CM:362.66,11
MONDO:0019118,ICD9CM:362.70,11
MONDO:0001538,ICD9CM:362.84,11
MONDO:0005283,ICD9CM:362.9,11
MONDO:0002164,ICD9CM:363.00,11
MONDO:0004657,ICD9CM:363.10,11
MONDO:0004674,ICD9CM:363.20,11
MONDO:0004771,ICD9CM:364.21,11
MONDO:0004773,ICD9CM:364.3,11
MONDO:0001855,ICD9CM:364.42,11
MONDO:0001996,ICD9CM:365.03,11
MONDO:0006875,ICD9CM:365.04,11
MONDO:0006837,ICD9CM:365.12,11
MONDO:0020367,ICD9CM:365.14,11
MONDO:0001094,ICD9CM:365.15,11
MONDO:0001868,ICD9CM:365.20,11
MONDO:0001742,ICD9CM:365.21,11
MONDO:0001817,ICD9CM:365.22,11
MONDO:0001966,ICD9CM:365.23,11
MONDO:0004931,ICD9CM:365.32,11
MONDO:0001626,ICD9CM:365.65,11
MONDO:0005041,ICD9CM:365.9,11
MONDO:0001749,ICD9CM:366.15,11
MONDO:0001687,ICD9CM:366.41,11
MONDO:0004891,ICD9CM:367.0,11
MONDO:0001384,ICD9CM:367.1,11
MONDO:0011284,ICD9CM:367.20,11
MONDO:0001364,ICD9CM:367.21,11
MONDO:0001831,ICD9CM:367.22,11
MONDO:0001478,ICD9CM:367.31,11
MONDO:0001330,ICD9CM:367.4,11
MONDO:0001329,ICD9CM:367.53,11
MONDO:0001020,ICD9CM:368.00,11
MONDO:0001019,ICD9CM:368.01,11
MONDO:0001021,ICD9CM:368.03,11
MONDO:0004588,ICD9CM:368.60,11
MONDO:0004577,ICD9CM:370.00,11
MONDO:0001034,ICD9CM:370.01,11
MONDO:0004918,ICD9CM:370.03,11
MONDO:0001038,ICD9CM:370.06,11
MONDO:0001465,ICD9CM:370.20,11
MONDO:0003082,ICD9CM:370.23,11
MONDO:0001760,ICD9CM:370.24,11
MONDO:0004794,ICD9CM:370.34,11
MONDO:0001440,ICD9CM:370.35,11
MONDO:0004768,ICD9CM:370.40,11
MONDO:0001430,ICD9CM:370.63,11
MONDO:0003085,ICD9CM:370.9,11
MONDO:0006712,ICD9CM:371.20,11
MONDO:0001182,ICD9CM:371.21,11
MONDO:0001181,ICD9CM:371.22,11
MONDO:0001180,ICD9CM:371.23,11
MONDO:0001183,ICD9CM:371.24,11
MONDO:0001515,ICD9CM:371.40,11
MONDO:0001306,ICD9CM:371.42,11
MONDO:0009016,ICD9CM:371.43,11
MONDO:0002449,ICD9CM:371.46,11
MONDO:0015486,ICD9CM:371.60,11
MONDO:0001030,ICD9CM:371.61,11
MONDO:0000943,ICD9CM:371.62,11
MONDO:0001950,ICD9CM:371.71,11
MONDO:0000942,ICD9CM:371.9,11
MONDO:0001214,ICD9CM:372.00,11
MONDO:0001219,ICD9CM:372.01,11
MONDO:0001228,ICD9CM:372.02,11
MONDO:0001224,ICD9CM:372.05,11
MONDO:0002314,ICD9CM:372.10,11
MONDO:0002313,ICD9CM:372.13,11
MONDO:0002307,ICD9CM:372.20,11
MONDO:0002306,ICD9CM:372.21,11
MONDO:0003799,ICD9CM:372.30,11
MONDO:0001179,ICD9CM:372.51,11
MONDO:0006537,ICD9CM:372.55,11
MONDO:0002931,ICD9CM:372.81,11
MONDO:0004785,ICD9CM:373.00,11
MONDO:0004799,ICD9CM:373.01,11
MONDO:0001813,ICD9CM:373.02,11
MONDO:0001642,ICD9CM:373.11,11
MONDO:0004917,ICD9CM:373.12,11
MONDO:0005844,ICD9CM:373.2,11
MONDO:0002136,ICD9CM:373.31,11
